標的名稱,時間,市佔率,成長率,金額,象限(BCG矩陣)
麗清,2017-03,0.3,0,295656.00,III(瘦狗)
麗豐-KY,2017-03,0,-11.92,17424.00,III(瘦狗)
寶成,2017-03,0,0.71,11802.00,III(瘦狗)
寶雅,2017-03,0.1,9.53,58242.408,III(瘦狗)
櫻花,2017-03,0,-42.88,37089.90,III(瘦狗)
F-IET,2017-02,0,0,15025.023,III(瘦狗)
GIS-KY,2017-02,0.4,207.34,313110.00,II(問號)
VHQ-KY,2017-02,0.2,10.39,160465.00,III(瘦狗)
乙盛-KY,2017-02,0,0,17440.00,III(瘦狗)
力成,2017-02,0.8,-6.14,704323.20,IV(金牛)
力旺,2017-02,1,15.59,872960.00,IV(金牛)
力達-KY,2017-02,0.1,0,70200.00,III(瘦狗)
卜蜂,2017-02,0.4,58.67,326266.50,II(問號)
凡甲,2017-02,0,21.03,28472.40,III(瘦狗)
千附,2017-02,0.1,-0.06,88500.00,III(瘦狗)
大立光,2017-02,12.9,-5.21,11257655.04,IV(金牛)
大地-KY,2017-02,0,-70.16,7852.50,III(瘦狗)
大成,2017-02,0.2,-44.45,141212.05,III(瘦狗)
大江,2017-02,0.5,15.45,417434.089,IV(金牛)
大億,2017-02,0,1.24,11410.00,III(瘦狗)
大聯大,2017-02,0,4.27,25194.00,III(瘦狗)
川湖,2017-02,0.2,-25.65,212424.00,III(瘦狗)
中石化,2017-02,0,0,12915.45,III(瘦狗)
中信金,2017-02,0.1,15.13,93813.402,III(瘦狗)
中保,2017-02,0,14.27,30060.00,III(瘦狗)
中砂,2017-02,0.3,276.57,237666.00,II(問號)
中美晶,2017-02,0.5,0,438082.55,IV(金牛)
中租-KY,2017-02,0.1,0,71567.40,III(瘦狗)
中華電,2017-02,0.7,-39.03,604798.80,IV(金牛)
中裕,2017-02,0,0,16515.00,III(瘦狗)
中鼎,2017-02,0.1,4.3,111980.00,III(瘦狗)
中壽,2017-02,0,-60.12,12994.65,III(瘦狗)
中碳,2017-02,0,105.99,17664.00,II(問號)
中磊,2017-02,0.2,-10.85,153365.00,III(瘦狗)
中橡,2017-02,0,0.47,26727.00,III(瘦狗)
中鋼,2017-02,0.3,-17.1,220512.60,III(瘦狗)
仁寶,2017-02,0,2.12,8662.50,III(瘦狗)
元大台灣卓越50基金,2017-02,0.1,-0.2,48717.90,III(瘦狗)
元太,2017-02,0.2,4.12,131307.00,III(瘦狗)
允強,2017-02,0,-36.98,42609.60,III(瘦狗)
六暉-KY,2017-02,0,-86.82,5099.70,III(瘦狗)
友通,2017-02,0,1.99,25600.00,III(瘦狗)
友達,2017-02,0.4,-60.25,360302.60,IV(金牛)
太醫,2017-02,0,0,14583.90,III(瘦狗)
文曄,2017-02,0.1,42.52,44545.95,II(問號)
日友,2017-02,0.1,-2.39,89250.00,III(瘦狗)
日月光,2017-02,0.5,75.43,405451.295,I(明星)
世界,2017-02,0.7,10.23,621750.10,IV(金牛)
可成,2017-02,0.1,-39.8,113594.00,III(瘦狗)
台中銀,2017-02,0,2.38,32994.966,III(瘦狗)
台化,2017-02,1.6,-5.73,1376439.48,IV(金牛)
台半,2017-02,0.2,-7.97,202510.00,III(瘦狗)
台光電,2017-02,1.3,-22.96,1168650.00,IV(金牛)
台泥,2017-02,0.3,-12.56,251878.50,III(瘦狗)
台苯,2017-02,0,0,28591.20,III(瘦狗)
台郡,2017-02,0.4,13.26,333355.649,III(瘦狗)
台勝科,2017-02,0.1,96.05,50530.50,II(問號)
台塑,2017-02,2,-1.04,1772491.51,IV(金牛)
台塑化,2017-02,1.1,44.4,964949.54,I(明星)
台新金,2017-02,0,2.96,23986.761,III(瘦狗)
台達電,2017-02,2.1,-0.27,1784206.989,IV(金牛)
台積電,2017-02,14,-0.1,12172447.098,IV(金牛)
台燿,2017-02,1,-3.57,883550.00,IV(金牛)
台耀,2017-02,0.4,-21.01,383535.00,IV(金牛)
台灣大,2017-02,0.2,8.69,169236.00,III(瘦狗)
正文,2017-02,0,11.88,9555.00,III(瘦狗)
正新,2017-02,0.1,-44.87,58051.70,III(瘦狗)
永冠-KY,2017-02,0,0,11662.00,III(瘦狗)
永豐金,2017-02,0,-4.87,32278.023,III(瘦狗)
瓦城,2017-02,0,-40.66,12250.00,III(瘦狗)
立端,2017-02,0.3,6.63,218829.208,III(瘦狗)
立積,2017-02,0,0,6003.00,III(瘦狗)
光環,2017-02,0,34.29,39232.00,II(問號)
兆豐金,2017-02,0.9,2.75,750327.307,IV(金牛)
全家,2017-02,0.2,-7.35,155701.00,III(瘦狗)
全新,2017-02,0.2,21.75,139940.80,III(瘦狗)
同亨,2017-02,0,-2.98,13162.50,III(瘦狗)
同欣電,2017-02,2.2,32.13,1896589.338,I(明星)
同致電子,2017-02,0.1,84.51,118800.50,II(問號)
合庫金,2017-02,0,2.44,22976.533,III(瘦狗)
宇智,2017-02,0,-11.55,12432.00,III(瘦狗)
宇隆,2017-02,0.6,179.83,562920.00,I(明星)
宇瞻,2017-02,0,0,10935.00,III(瘦狗)
江申,2017-02,0.1,27.32,54370.10,III(瘦狗)
江興鍛,2017-02,0,5.12,18388.50,III(瘦狗)
百和,2017-02,0.4,-21.54,393587.50,IV(金牛)
西柏科技,2017-02,0.2,6.58,135286.25,III(瘦狗)
伸興,2017-02,0,-6.57,14740.50,III(瘦狗)
宏全,2017-02,0,0,14531.40,III(瘦狗)
材料-KY,2017-02,0,-21.45,12960.00,III(瘦狗)
辛耘,2017-02,0.2,-0.87,153341.00,III(瘦狗)
邦特生技,2017-02,0.2,-2.88,202432.755,III(瘦狗)
亞德客-KY,2017-02,0.2,-44.9,210444.00,III(瘦狗)
京元電子,2017-02,0.4,70.16,353768.75,I(明星)
京鼎,2017-02,0,0,15968.00,III(瘦狗)
佳世達,2017-02,0,-2.14,14400.00,III(瘦狗)
其陽,2017-02,0,0,6546.75,III(瘦狗)
和大,2017-02,0.3,2.64,256818.00,III(瘦狗)
和碩,2017-02,0.4,20.32,323042.10,III(瘦狗)
奇力新,2017-02,0.9,-5.51,788292.00,IV(金牛)
宜特,2017-02,0.3,-38.07,240861.164,III(瘦狗)
宜鼎,2017-02,0,0,10797.21,III(瘦狗)
帛漢,2017-02,0,0,17340.00,III(瘦狗)
旺宏,2017-02,0.2,0,160948.71,III(瘦狗)
旺矽,2017-02,0.1,-53.1,95340.00,III(瘦狗)
昂寶-KY,2017-02,0.3,-11.64,252448.00,III(瘦狗)
昇達科,2017-02,0.2,-9.43,171273.30,III(瘦狗)
東元,2017-02,0,-1.77,37672.00,III(瘦狗)
東明-KY,2017-02,0,-4.32,8437.80,III(瘦狗)
東洋,2017-02,0.4,8.36,339678.00,IV(金牛)
東陽,2017-02,0,-94.84,18330.00,III(瘦狗)
欣銓,2017-02,0.3,34.88,263010.362,II(問號)
矽力-KY,2017-02,1.1,20.96,933616.695,IV(金牛)
矽品,2017-02,0.5,1.46,474223.20,IV(金牛)
矽創,2017-02,0.4,2.88,338712.30,III(瘦狗)
金居,2017-02,0.4,116.95,308339.20,II(問號)
金寶,2017-02,0,0,28047.60,III(瘦狗)
長華,2017-02,0,-15.74,33430.50,III(瘦狗)
長榮,2017-02,0.2,2293.98,181584.00,II(問號)
信邦,2017-02,0.1,-9.64,79443.493,III(瘦狗)
信驊,2017-02,1,-14.26,877767.064,IV(金牛)
南六,2017-02,0.1,7.97,93786.00,III(瘦狗)
南亞,2017-02,1.5,49.23,1308269.152,I(明星)
建準,2017-02,0,-85.09,7440.00,III(瘦狗)
皇田,2017-02,0.7,-20.52,596742.00,IV(金牛)
研華,2017-02,0,65.64,12290.50,II(問號)
美律,2017-02,0.2,-77.69,182448.00,III(瘦狗)
美食-KY,2017-02,0.2,27.86,181379.95,III(瘦狗)
美時製藥,2017-02,0.1,0,65400.00,III(瘦狗)
美磊,2017-02,0.1,0,60456.00,III(瘦狗)
胡連,2017-02,0.2,11.67,154635.00,III(瘦狗)
致伸,2017-02,0.1,398.09,78819.00,II(問號)
致茂,2017-02,0.7,15.53,647032.494,IV(金牛)
茂林-KY,2017-02,0.1,0,46878.00,III(瘦狗)
茂達,2017-02,0,0,21816.00,III(瘦狗)
英業達,2017-02,0.1,-2.97,45052.80,III(瘦狗)
凌巨,2017-02,0.2,3.38,149222.20,III(瘦狗)
凌華,2017-02,0,0,12547.50,III(瘦狗)
振樺電,2017-02,0,34.87,39292.625,II(問號)
振曜,2017-02,0.2,-47.45,145275.90,III(瘦狗)
桂盟,2017-02,0.2,25.93,156210.227,III(瘦狗)
泰博,2017-02,0,-25.76,14365.00,III(瘦狗)
神盾,2017-02,0.5,-17.37,424178.00,IV(金牛)
神基,2017-02,0.2,-55.35,151274.00,III(瘦狗)
神準,2017-02,0.1,7.59,72760.00,III(瘦狗)
神達,2017-02,0.1,-45.63,104633.597,III(瘦狗)
健和興,2017-02,0,8.66,12905.00,III(瘦狗)
國巨,2017-02,0.2,617.47,171763.20,II(問號)
國建,2017-02,0,0,18855.00,III(瘦狗)
國泰金,2017-02,1.5,-0.35,1343704.262,IV(金牛)
國喬,2017-02,0.1,56.3,62026.80,II(問號)
崇越,2017-02,0,0,28764.00,III(瘦狗)
"康控-KY ",2017-02,0.1,557.72,71362.50,II(問號)
彩晶,2017-02,0,-5.6,21700.00,III(瘦狗)
啟碁,2017-02,1.3,-5.68,1109968.251,IV(金牛)
眾達-KY,2017-02,0.1,-4.11,118748.80,III(瘦狗)
祥碩,2017-02,1,-34.69,838500.00,IV(金牛)
統一,2017-02,0.1,-8.26,43680.00,III(瘦狗)
統一超,2017-02,0.5,-5.91,442656.50,IV(金牛)
統新,2017-02,0,0,28777.70,III(瘦狗)
凱撒衛,2017-02,0,2.73,18750.00,III(瘦狗)
喬山,2017-02,0,0.11,15407.55,III(瘦狗)
堤維西,2017-02,0,-70.7,4392.00,III(瘦狗)
富邦金,2017-02,0.9,-29.07,813292.403,IV(金牛)
富喬,2017-02,0.1,18.02,58387.70,III(瘦狗)
復華滬深300 A股基金,2017-02,0,0.43,4392.45,III(瘦狗)
敦泰,2017-02,0.1,-71.4,52479.75,III(瘦狗)
晶技,2017-02,0,7.89,27480.00,III(瘦狗)
晶電,2017-02,0,183.27,23900.30,II(問號)
景碩,2017-02,0.3,156.33,240550.00,II(問號)
智伸科,2017-02,0.6,4.58,556983.00,IV(金牛)
智邦,2017-02,1.8,-31,1595051.50,IV(金牛)
智原,2017-02,0,56.76,25200.00,II(問號)
智擎,2017-02,0.1,106.51,111900.356,II(問號)
華邦電,2017-02,0,-28.18,29413.70,III(瘦狗)
華固,2017-02,0.1,548.68,87624.60,II(問號)
華星光,2017-02,0,0,32215.00,III(瘦狗)
華夏,2017-02,0,0,41597.164,III(瘦狗)
華通,2017-02,0.3,0,226685.30,III(瘦狗)
華新,2017-02,0,0,24992.00,III(瘦狗)
華新科,2017-02,1.4,39.57,1216958.673,I(明星)
菱生,2017-02,0.1,0,52688.00,III(瘦狗)
貿聯-KY,2017-02,0.6,72.95,499507.533,I(明星)
超眾,2017-02,0.2,-70.16,168487.00,III(瘦狗)
開發金,2017-02,0,1.5,8837.10,III(瘦狗)
閎康,2017-02,0,0,20068.00,III(瘦狗)
集盛,2017-02,0,126.63,18674.95,II(問號)
順德,2017-02,0.1,12.6,57772.00,III(瘦狗)
鈊象電子,2017-02,1,16.37,882916.00,IV(金牛)
微星,2017-02,0,-82.02,22041.00,III(瘦狗)
敬鵬,2017-02,0,-73.74,11052.00,III(瘦狗)
新日興,2017-02,0.4,-31.77,332776.50,III(瘦狗)
新保,2017-02,0,0,12084.00,III(瘦狗)
新唐,2017-02,0.1,-9.25,102369.30,III(瘦狗)
新麥,2017-02,0,-61.1,17010.00,III(瘦狗)
新興,2017-02,0,0,15870.00,III(瘦狗)
瑞昱,2017-02,0.1,-63.18,71906.00,III(瘦狗)
瑞智,2017-02,0.1,80.19,54421.85,II(問號)
瑞儀,2017-02,0.1,-12.03,43815.00,III(瘦狗)
盟立,2017-02,0,8.66,28560.00,III(瘦狗)
萬海,2017-02,0,0,26276.90,III(瘦狗)
萬潤,2017-02,0.5,522.3,455038.50,I(明星)
群創,2017-02,0.5,-27.79,444612.50,IV(金牛)
群電,2017-02,0,3.85,7275.00,III(瘦狗)
群聯,2017-02,0,9.1,21560.00,III(瘦狗)
裕民,2017-02,0,0,12060.00,III(瘦狗)
誠品生,2017-02,0,-39.86,14098.625,III(瘦狗)
達邁,2017-02,0,0,31458.00,III(瘦狗)
鉅橡,2017-02,0.1,0.15,47594.80,III(瘦狗)
鼎翰,2017-02,0.2,-7.28,180375.80,III(瘦狗)
鈺邦,2017-02,0,0,11220.00,III(瘦狗)
鈺齊-KY,2017-02,0.2,-2.41,143013.334,III(瘦狗)
頎邦,2017-02,0.5,8.29,446779.80,IV(金牛)
嘉澤,2017-02,0.2,57.78,192675.00,II(問號)
榮化,2017-02,0.1,11.26,124764.00,III(瘦狗)
榮成,2017-02,0.6,717.14,543956.55,I(明星)
漢翔,2017-02,0,-43.38,14415.00,III(瘦狗)
碩天,2017-02,0.1,-19.01,53000.00,III(瘦狗)
精材,2017-02,0,0,21492.80,III(瘦狗)
精測,2017-02,1.8,42.68,1602855.00,I(明星)
綠悅-KY,2017-02,0.3,171.5,291193.50,II(問號)
遠東新,2017-02,0,0,11962.50,III(瘦狗)
遠東銀,2017-02,0,1.85,34041.564,III(瘦狗)
億豐,2017-02,0.6,-11.25,541501.00,IV(金牛)
劍麟,2017-02,0.6,-4.82,492003.04,IV(金牛)
廣明,2017-02,0,-5.8,11680.00,III(瘦狗)
廣越,2017-02,0,0,28302.00,III(瘦狗)
廣隆,2017-02,0.2,-7.96,195928.00,III(瘦狗)
廣達,2017-02,0.1,79.22,64974.00,II(問號)
潤泰全,2017-02,0.2,117.54,175657.90,II(問號)
潤泰新,2017-02,0.1,1.57,61492.15,III(瘦狗)
儒鴻,2017-02,0.5,-27.9,403389.612,IV(金牛)
樺漢,2017-02,1.5,-10.83,1263423.545,IV(金牛)
璟德,2017-02,0.6,-0.49,535040.00,IV(金牛)
臻鼎-KY,2017-02,0.6,34.1,543762.00,I(明星)
興農,2017-02,0,0,14625.00,III(瘦狗)
龍巖,2017-02,0,30.32,42614.40,III(瘦狗)
錩泰,2017-02,0,4.44,13923.00,III(瘦狗)
優群,2017-02,0,0,8428.00,III(瘦狗)
環泥,2017-02,0,-29.29,11259.355,III(瘦狗)
環球晶圓,2017-02,1,169.73,870559.00,I(明星)
聯合,2017-02,0,8.96,29266.282,III(瘦狗)
聯邦銀,2017-02,0,1.89,29593.681,III(瘦狗)
聯亞,2017-02,0,0,12840.00,III(瘦狗)
聯茂,2017-02,0,0.35,20422.80,III(瘦狗)
聯發科,2017-02,0,-14.24,21056.00,III(瘦狗)
聯鈞,2017-02,0.4,98.81,321775.00,II(問號)
聯電,2017-02,0.4,15.02,336498.00,III(瘦狗)
鴻海,2017-02,5.4,24.18,4689438.873,IV(金牛)
鴻準,2017-02,0.2,87.54,173813.682,II(問號)
鴻碩,2017-02,0.3,651.84,264069.00,II(問號)
豐興,2017-02,0,0,14013.00,III(瘦狗)
雙鴻,2017-02,0.5,72.15,461168.985,I(明星)
鎧勝-KY,2017-02,0.1,8.55,71240.00,III(瘦狗)
穩懋,2017-02,0.9,122.1,757668.908,I(明星)
藥華藥,2017-02,0,0,13975.00,III(瘦狗)
譜瑞-KY,2017-02,0.8,8.97,730925.00,IV(金牛)
麗豐-KY,2017-02,0,11.6,19783.50,III(瘦狗)
寶成,2017-02,0,5.43,11717.70,III(瘦狗)
寶雅,2017-02,0.1,-56.49,53169.836,III(瘦狗)
櫻花,2017-02,0.1,236.56,64942.80,II(問號)
霹靂,2017-02,0,1.21,5817.00,III(瘦狗)
鐿鈦,2017-02,0,0,23027.50,III(瘦狗)
GIS-KY,2017-01,0.1,430.18,101874.80,II(問號)
VHQ-KY,2017-01,0.2,-42.49,145350.00,III(瘦狗)
力成,2017-01,0.9,-10.97,750433.50,IV(金牛)
力旺,2017-01,0.9,-1.15,755200.00,IV(金牛)
卜蜂,2017-01,0.2,53.23,205623.00,II(問號)
凡甲,2017-01,0,-64.64,23522.60,III(瘦狗)
千附,2017-01,0.1,15.33,88561.35,III(瘦狗)
大立光,2017-01,13.9,17.25,11876978.80,IV(金牛)
大地-KY,2017-01,0,-46.14,26325.00,III(瘦狗)
大成,2017-01,0.3,22.43,254217.60,III(瘦狗)
大江,2017-01,0.4,-55.6,361548.88,IV(金牛)
大億,2017-01,0,-2.54,11270.00,III(瘦狗)
大聯大,2017-01,0,-24.84,24160.40,III(瘦狗)
川湖,2017-01,0.3,12.14,285719.00,III(瘦狗)
中信金,2017-01,0.1,0.85,81478.556,III(瘦狗)
中保,2017-01,0,8.35,26304.20,III(瘦狗)
中砂,2017-01,0.1,48.26,63112.00,II(問號)
中華電,2017-01,1.2,-10.63,992092.80,IV(金牛)
中鼎,2017-01,0.1,747.89,107360.00,II(問號)
中壽,2017-01,0,-62.15,32589.00,III(瘦狗)
中碳,2017-01,0,0,8575.00,III(瘦狗)
中磊,2017-01,0.2,16.83,172048.80,III(瘦狗)
中橡,2017-01,0,-0.34,26600.75,III(瘦狗)
中鋼,2017-01,0.3,-16.98,266029.50,III(瘦狗)
仁寶,2017-01,0,0,8482.50,III(瘦狗)
元大台灣卓越50基金,2017-01,0.1,2.08,48817.80,III(瘦狗)
元太,2017-01,0.1,1.17,126108.00,III(瘦狗)
允強,2017-01,0.1,-19.56,67616.30,III(瘦狗)
六暉-KY,2017-01,0,0,38699.20,III(瘦狗)
友通,2017-01,0,-2.9,25100.00,III(瘦狗)
友達,2017-01,1.1,78.14,906444.30,I(明星)
文曄,2017-01,0,-83.74,31255.35,III(瘦狗)
日友,2017-01,0.1,6.19,91440.00,III(瘦狗)
日月光,2017-01,0.3,-37.27,231107.192,III(瘦狗)
世界,2017-01,0.7,-2.84,564013.40,IV(金牛)
可成,2017-01,0.2,54,188700.00,II(問號)
台中銀,2017-01,0,-32.38,32225.201,III(瘦狗)
台化,2017-01,1.7,-5.02,1460185.408,IV(金牛)
台半,2017-01,0.3,15.13,220059.80,III(瘦狗)
台光電,2017-01,1.8,55.36,1517013.00,I(明星)
台泥,2017-01,0.3,2.09,288085.20,III(瘦狗)
台郡,2017-01,0.3,-43.24,294304.803,III(瘦狗)
台勝科,2017-01,0,6.3,25774.30,III(瘦狗)
台塑,2017-01,2.1,-4.4,1791225.606,IV(金牛)
台塑化,2017-01,0.8,-33.85,668204.43,IV(金牛)
台新金,2017-01,0,0,23295.784,III(瘦狗)
台達電,2017-01,2.1,67.98,1789049.904,I(明星)
台積電,2017-01,14.3,-2.46,12184842.413,IV(金牛)
台燿,2017-01,1.1,32.61,916335.25,IV(金牛)
台耀,2017-01,0.6,8.16,485560.00,IV(金牛)
台灣大,2017-01,0.2,0.48,155705.00,III(瘦狗)
弘帆,2017-01,0.2,-36.03,158449.50,III(瘦狗)
正文,2017-01,0,3.6,8540.00,III(瘦狗)
正新,2017-01,0.1,0,105304.60,III(瘦狗)
永豐金,2017-01,0,1.54,33931.398,III(瘦狗)
瓦城,2017-01,0,0.9,20646.00,III(瘦狗)
立端,2017-01,0.2,175.57,205220.104,II(問號)
光環,2017-01,0,-6.07,29214.00,III(瘦狗)
兆豐金,2017-01,0.9,6.82,730227.593,IV(金牛)
全家,2017-01,0.2,-8.25,168064.00,III(瘦狗)
全新,2017-01,0.1,-1.11,114934.60,III(瘦狗)
同亨,2017-01,0,0,13567.50,III(瘦狗)
同欣電,2017-01,1.7,-2.03,1435319.519,IV(金牛)
同致電子,2017-01,0.1,1.55,64386.00,III(瘦狗)
合庫金,2017-01,0,1.77,22427.605,III(瘦狗)
宇智,2017-01,0,4.58,14056.00,III(瘦狗)
宇隆,2017-01,0.2,7.06,201159.00,III(瘦狗)
旭隼,2017-01,0.1,-16.87,58037.64,III(瘦狗)
江申,2017-01,0.1,-48.43,42702.24,III(瘦狗)
江興鍛,2017-01,0,-0.55,17491.50,III(瘦狗)
百和,2017-01,0.6,-10.91,501659.20,IV(金牛)
西柏科技,2017-01,0.1,2.35,126923.10,III(瘦狗)
伸興,2017-01,0,0.31,15778.00,III(瘦狗)
材料-KY,2017-01,0,11.86,16500.00,III(瘦狗)
辛耘,2017-01,0.2,-3.41,154701.60,III(瘦狗)
邦特生技,2017-01,0.2,-45.67,208441.351,III(瘦狗)
亞聚,2017-01,0,0,15286.50,III(瘦狗)
亞德客-KY,2017-01,0.4,-15.69,381984.00,IV(金牛)
京元電子,2017-01,0.2,28.7,207900.00,III(瘦狗)
佳世達,2017-01,0,0,14715.00,III(瘦狗)
其陽,2017-01,0,-1.2,6546.75,III(瘦狗)
和大,2017-01,0.3,17.8,250194.00,III(瘦狗)
和碩,2017-01,0.3,26.01,268482.50,III(瘦狗)
奇力新,2017-01,1,-22.87,834265.90,IV(金牛)
宜特,2017-01,0.4,-4.16,388931.765,IV(金牛)
旺矽,2017-01,0.2,97.01,203322.00,II(問號)
昂寶-KY,2017-01,0.3,-13.32,285708.00,III(瘦狗)
昇達科,2017-01,0.2,812.01,189115.50,II(問號)
東元,2017-01,0,1.07,38352.00,III(瘦狗)
東明-KY,2017-01,0,-1.14,8819.30,III(瘦狗)
東洋,2017-01,0.4,20.58,313446.00,III(瘦狗)
東陽,2017-01,0.4,-17.78,355276.80,III(瘦狗)
欣銓,2017-01,0.2,-10.63,194983.661,III(瘦狗)
波若威,2017-01,0,0,19865.30,III(瘦狗)
矽力-KY,2017-01,0.9,-10.28,771796.625,IV(金牛)
矽品,2017-01,0.5,-0.31,467364.60,IV(金牛)
矽創,2017-01,0.4,9.06,329229.00,III(瘦狗)
金居,2017-01,0.2,811.02,142120.00,II(問號)
長虹,2017-01,0.1,2.2,84500.00,III(瘦狗)
長華,2017-01,0,-18.33,39680.40,III(瘦狗)
長榮,2017-01,0,0,7585.20,III(瘦狗)
信邦,2017-01,0.1,-16.27,87923.153,III(瘦狗)
信驊,2017-01,1.2,-26.39,1023873.262,IV(金牛)
南六,2017-01,0.1,-1.32,86859.50,III(瘦狗)
南亞,2017-01,1,196.39,876634.50,I(明星)
南亞科,2017-01,0.4,-26.68,325728.00,III(瘦狗)
南僑,2017-01,0.1,-30.62,52433.80,III(瘦狗)
建準,2017-01,0.1,659.01,49912.50,II(問號)
為升,2017-01,0.1,-55.2,96304.065,III(瘦狗)
皇田,2017-01,0.9,-3.91,750849.00,IV(金牛)
研華,2017-01,0,-2.81,7420.00,III(瘦狗)
美利達,2017-01,0,0,12187.50,III(瘦狗)
美律,2017-01,0.9,35.35,817830.00,IV(金牛)
美食-KY,2017-01,0.2,1246.46,141849.80,II(問號)
胡連,2017-01,0.2,14.87,138474.00,III(瘦狗)
致伸,2017-01,0,0.78,15824.20,III(瘦狗)
致茂,2017-01,0.6,14.62,560032.282,IV(金牛)
茂順,2017-01,0.2,-13.13,139646.00,III(瘦狗)
英業達,2017-01,0.1,0,46436.00,III(瘦狗)
凌巨,2017-01,0.2,0,144343.00,III(瘦狗)
凌華,2017-01,0,17.34,12547.50,III(瘦狗)
振樺電,2017-01,0,11.64,29131.776,III(瘦狗)
振曜,2017-01,0.3,1.33,276468.40,III(瘦狗)
桂盟,2017-01,0.1,12.33,124037.483,III(瘦狗)
泰博,2017-01,0,256.68,19350.00,II(問號)
神盾,2017-01,0.6,-1.21,513376.00,IV(金牛)
神基,2017-01,0.4,172.4,338837.45,II(問號)
神準,2017-01,0.1,0,67624.00,III(瘦狗)
神達,2017-01,0.2,401.12,192461.23,II(問號)
耕興,2017-01,0,2.63,26512.325,III(瘦狗)
高雄銀,2017-01,0,0.5,18912.68,III(瘦狗)
健和興,2017-01,0,0,11875.50,III(瘦狗)
國巨,2017-01,0,0,23940.00,III(瘦狗)
國泰金,2017-01,1.6,-23.97,1348545.236,IV(金牛)
國喬,2017-01,0,-3.09,39682.50,III(瘦狗)
崧騰,2017-01,0,-21.51,15520.00,III(瘦狗)
"康控-KY ",2017-01,0,0,10850.00,III(瘦狗)
彩晶,2017-01,0,4.45,22988.00,III(瘦狗)
啟碁,2017-01,1.4,21.46,1176864.998,IV(金牛)
眾達-KY,2017-01,0.1,15.26,123840.00,III(瘦狗)
祥碩,2017-01,1.5,59.26,1284052.00,I(明星)
統一,2017-01,0.1,0.18,47615.00,III(瘦狗)
統一超,2017-01,0.5,23.14,470502.50,IV(金牛)
凱撒衛,2017-01,0,-2.4,18250.00,III(瘦狗)
喬山,2017-01,0,-2.26,15390.60,III(瘦狗)
堤維西,2017-01,0,0,14994.00,III(瘦狗)
富邦上証180基金,2017-01,0,1.7,14828.40,III(瘦狗)
富邦金,2017-01,1.3,-18.31,1146717.693,IV(金牛)
富喬,2017-01,0.1,-21.31,49470.00,III(瘦狗)
復華滬深300 A股基金,2017-01,0,0,4373.10,III(瘦狗)
敦泰,2017-01,0.2,24.82,183533.55,III(瘦狗)
晶技,2017-01,0,0,25470.00,III(瘦狗)
晶電,2017-01,0,1.51,8436.50,III(瘦狗)
景碩,2017-01,0.1,17.15,93842.60,III(瘦狗)
智伸科,2017-01,0.6,95.9,532560.00,I(明星)
智邦,2017-01,2.7,28.71,2311867.00,IV(金牛)
智原,2017-01,0,17.69,16075.00,III(瘦狗)
智擎,2017-01,0.1,50.48,54186.10,II(問號)
華邦電,2017-01,0,28.38,40960.00,III(瘦狗)
華固,2017-01,0,1.48,13508.00,III(瘦狗)
華新科,2017-01,1,65.39,871888.244,I(明星)
貿聯-KY,2017-01,0.3,-32.35,288811.38,III(瘦狗)
超眾,2017-01,0.7,1592.05,564723.00,I(明星)
開發金,2017-01,0,-0.98,8706.18,III(瘦狗)
集盛,2017-01,0,10.99,8240.00,III(瘦狗)
順德,2017-01,0.1,3.75,51306.15,III(瘦狗)
鈊象電子,2017-01,0.9,6.64,758698.00,IV(金牛)
微星,2017-01,0.1,69.48,122623.20,II(問號)
愛普,2017-01,0,0,26961.00,III(瘦狗)
敬鵬,2017-01,0,-32.67,42092.00,III(瘦狗)
新日興,2017-01,0.6,10.76,487761.30,IV(金牛)
新唐,2017-01,0.1,27.29,112815.00,III(瘦狗)
新麥,2017-01,0.1,43.09,43736.00,II(問號)
瑞昱,2017-01,0.2,-48.24,195328.00,III(瘦狗)
瑞智,2017-01,0,76.98,30200.50,II(問號)
瑞儀,2017-01,0.1,-74.48,49808.00,III(瘦狗)
盟立,2017-01,0,3.48,26282.00,III(瘦狗)
萬潤,2017-01,0.1,161.8,73121.40,II(問號)
群創,2017-01,0.7,524.46,615793.20,I(明星)
群電,2017-01,0,-59.97,7005.00,III(瘦狗)
群聯,2017-01,0,-40.5,19760.00,III(瘦狗)
誠品生,2017-01,0,-2.85,23447.125,III(瘦狗)
鉅橡,2017-01,0.1,10.15,47520.20,III(瘦狗)
雷笛克,2017-01,0,-3.03,14582.40,III(瘦狗)
鼎翰,2017-01,0.2,43.46,194550.00,II(問號)
鈺齊-KY,2017-01,0.2,-16.09,146553.267,III(瘦狗)
頎邦,2017-01,0.5,33.14,412548.95,IV(金牛)
僑威,2017-01,0,-5.21,14075.00,III(瘦狗)
嘉澤,2017-01,0.1,42.51,122109.00,II(問號)
榮化,2017-01,0.1,297.44,112129.50,II(問號)
榮成,2017-01,0.1,0,66567.60,III(瘦狗)
榮剛,2017-01,0,0,7686.00,III(瘦狗)
漢翔,2017-01,0,-9.19,25460.60,III(瘦狗)
碩天,2017-01,0.1,4.74,65448.00,III(瘦狗)
精測,2017-01,1.3,-30.69,1123320.00,IV(金牛)
綠河-KY,2017-01,0.2,121.42,130260.00,II(問號)
綠悅-KY,2017-01,0.1,7.14,107253.00,III(瘦狗)
遠東銀,2017-01,0,0.88,33422.627,III(瘦狗)
億豐,2017-01,0.7,-2.64,610155.00,IV(金牛)
